depth	min	max	median	mean
0	-64	-6	-35	-35
1	-44	91	2	8
2	-36	212	38	51
3	-30	335	74	94
4	-25	458	110	138
5	-19	581	146	181
6	12	602	191	222
7	30	631	238	262
8	44	668	284	303
9	60	714	326	344
10	71	776	367	385
11	117	801	408	424
12	147	830	450	463
13	168	864	492	502
14	189	903	533	541
15	204	961	573	580
16	271	976	615	620
17	312	1003	658	661
18	343	1029	703	702
19	368	1071	751	742
20	395	1125	795	783
21	446	1142	832	820
22	486	1163	868	858
23	531	1183	908	896
24	565	1213	948	934
25	590	1249	983	971
26	681	1259	1018	1010
27	766	1272	1058	1048
28	834	1285	1097	1087
29	896	1305	1134	1125
30	934	1332	1176	1164
30.00002	934	1332	1176	1164
31	934	1332	1176	1164
32	934	1332	1176	1164
33	934	1332	1176	1164
34	934	1332	1176	1164
35	934	1332	1176	1164
36	934	1332	1176	1164
37	934	1332	1176	1164
38	934	1332	1176	1164
39	934	1332	1176	1164
40	934	1332	1176	1164
40.00002	934	1332	1176	1164
41	979	1338	1191	1183
42	1015	1343	1208	1202
43	1048	1351	1230	1221
44	1069	1359	1251	1241
45	1086	1383	1272	1260
46	1108	1389	1281	1270
47	1129	1396	1290	1281
48	1150	1405	1299	1291
49	1165	1414	1309	1302
50	1176	1423	1320	1312
51	1191	1433	1328	1321
52	1200	1445	1334	1330
53	1207	1457	1341	1338
54	1213	1477	1348	1347
55	1221	1493	1355	1356
56	1234	1502	1368	1369
57	1246	1515	1382	1382
58	1258	1528	1394	1395
59	1265	1546	1408	1408
60	1275	1571	1420	1421
61	1290	1581	1438	1437
62	1303	1594	1454	1453
63	1315	1610	1471	1469
64	1326	1631	1487	1484
65	1336	1658	1503	1500
66	1368	1664	1522	1520
67	1396	1675	1542	1541
68	1422	1687	1560	1561
69	1440	1710	1579	1582
70	1453	1733	1597	1602
71	1492	1749	1626	1628
72	1532	1776	1654	1655
73	1556	1810	1682	1681
74	1573	1854	1708	1708
75	1582	1906	1732	1734
76	1620	1919	1756	1760
77	1642	1935	1780	1785
78	1661	1953	1808	1810
79	1678	1986	1833	1836
80	1697	2033	1858	1861
81	1725	2045	1880	1882
82	1753	2060	1902	1904
83	1775	2080	1923	1925
84	1793	2112	1945	1946
85	1804	2148	1965	1968
86	1826	2169	1992	1994
87	1848	2197	2018	2020
88	1860	2226	2044	2046
89	1871	2271	2068	2072
90	1880	2321	2091	2098
91	1917	2344	2126	2135
92	1945	2373	2168	2172
93	1964	2412	2212	2209
94	1974	2467	2256	2246
95	1985	2541	2298	2282
96	2051	2555	2336	2323
97	2084	2573	2376	2364
98	2113	2601	2418	2405
99	2130	2641	2460	2445
100	2148	2702	2508	2486
101	2170	2721	2532	2507
102	2187	2743	2553	2528
103	2204	2770	2578	2550
104	2220	2804	2602	2571
105	2230	2838	2626	2592
106	2284	2866	2655	2624
107	2318	2904	2681	2656
108	2346	2954	2704	2688
109	2374	3013	2728	2719
110	2403	3076	2753	2751
111	2553	3132	2799	2812
112	2685	3198	2846	2872
113	2751	3301	2901	2932
114	2769	3415	2958	2992
115	2785	3561	3013	3053
116	2919	3663	3209	3232
117	2984	3802	3421	3412
118	3019	3973	3631	3591
119	3059	4186	3836	3771
120	3105	4447	4034	3951
120.00002	3105	4447	4034	3951
121	3105	4447	4034	3951
122	3105	4447	4034	3951
123	3105	4447	4034	3951
124	3105	4447	4034	3951
125	3105	4447	4034	3951
126	3105	4447	4034	3951
127	3105	4447	4034	3951
128	3105	4447	4034	3951
129	3105	4447	4034	3951
130	3105	4447	4034	3951
131	3105	4447	4034	3951
132	3105	4447	4034	3951
133	3105	4447	4034	3951
134	3105	4447	4034	3951
135	3105	4447	4034	3951
136	3105	4447	4034	3951
137	3105	4447	4034	3951
138	3105	4447	4034	3951
139	3105	4447	4034	3951
140	3105	4447	4034	3951
140.00002	3105	4447	4034	3951
141	3328	4492	4150	4080
142	3504	4572	4270	4210
143	3638	4717	4388	4339
144	3769	4912	4501	4469
145	3890	5141	4609	4598
146	3976	5171	4681	4665
147	4057	5213	4749	4731
148	4137	5256	4829	4798
149	4209	5313	4904	4864
150	4268	5386	4971	4931
151	4466	5400	5034	5006
152	4650	5423	5100	5081
153	4780	5453	5180	5157
154	4873	5489	5263	5232
155	4935	5555	5339	5307
156	5016	5588	5381	5353
157	5081	5630	5422	5400
158	5117	5691	5462	5446
159	5144	5781	5501	5493
160	5166	5878	5540	5539
161	5246	5899	5585	5586
162	5305	5927	5635	5632
163	5341	5969	5684	5679
164	5374	6019	5735	5726
165	5414	6092	5779	5772
166	5486	6106	5813	5811
167	5560	6125	5848	5850
168	5611	6152	5885	5889
169	5651	6191	5922	5928
170	5684	6229	5960	5967
171	5787	6292	6039	6047
172	5846	6405	6129	6128
173	5881	6556	6204	6208
174	5909	6729	6274	6289
175	5937	6915	6341	6369
176	6056	6962	6428	6453
177	6122	7009	6520	6537
178	6181	7067	6623	6620
179	6215	7144	6718	6704
180	6250	7246	6806	6788
181	6418	7267	6881	6871
182	6574	7289	6959	6955
183	6710	7312	7043	7038
184	6818	7348	7135	7122
185	6897	7415	7228	7206
186	6956	7441	7261	7242
187	7001	7475	7295	7278
188	7027	7521	7331	7313
189	7062	7579	7363	7349
190	7086	7648	7394	7385
191	7133	7668	7427	7419
192	7168	7689	7461	7453
193	7204	7712	7494	7487
194	7232	7745	7529	7521
195	7257	7793	7563	7555
196	7335	7807	7593	7589
197	7406	7823	7625	7623
198	7474	7842	7657	7657
199	7528	7873	7689	7692
200	7564	7909	7720	7726
201	7613	7933	7755	7759
202	7638	7963	7790	7793
203	7658	8000	7825	7827
204	7671	8063	7858	7861
205	7685	8132	7891	7895
206	7744	8146	7923	7928
207	7784	8172	7956	7962
208	7821	8206	7990	7995
209	7838	8241	8024	8029
210	7858	8294	8055	8063
211	7992	8399	8172	8180
212	8040	8620	8282	8297
